Module Code,Lecturer,Topic,Question,Answer
CMB236,Colin Freeman,Keratin & Fracture,What determines whether a crack propagates uncontrollably?,"A net energy curve (elastic strain energy released minus crack surface energy gained) peaks at the critical crack radius. Beyond this radius, crack growth proceeds spontaneously."
CMB236,Colin Freeman,Keratin & Fracture,List four biological strategies to resist fracture?,(1) Viscoelasticity + pre-stressing past the toe region; (2) specialised structures that defocus energy at crack tips; (3) convolution (jagged edges) that increases interfacial energy; (4) fibres that become perpendicular to the crack and inhibit growth.
CMB236,Colin Freeman,Skin,What are the three layers of skin and their key components?,"Epidermis (α-keratin, stretchy/tough), Dermis (collagen, connective), Hypodermis (high fat + collagen + elastin, elastic)."
CMB236,Colin Freeman,Skin,Why is skin stiffer parallel to Langer lines?,"Collagen fibres in the dermis run parallel to Langer lines, giving greater stiffness in that direction."
CMB236,Colin Freeman,Skin,"Distinguish 1st, 2nd, and 3rd degree burns by tissue damage?","1st: epidermis destroyed. 2nd: epidermis + some dermis destroyed, but tissue remains around hair follicles. 3rd: full skin destruction, leaving only fat and muscle — requires skin grafts."
CMB236,Colin Freeman,Artificial Materials,"Distinguish biotoxic, bioinert, bioactive, and bioresorbable implant materials?","Biotoxic: rejected by tissue. Bioinert: no interaction, separated by fibrous layer. Bioactive: bonds with and integrates into tissue. Bioresorbable: gradually dissolved by the body."
CMB236,Colin Freeman,Artificial Materials,Why are polyglycolic/polylactic acids used in tissue engineering scaffolds?,They degrade to glycolic and lactic acid — both naturally present in the body — making them biocompatible and safely bioresorbable.
CMB236,Colin Freeman,Artificial Materials,What is the Integra system and how does it work?,A tissue-engineering system for post-burn treatment: a silicone protective sheet (removed once healing is established) plus a collagen scaffold that encourages new dermis formation.
CMB236,Colin Freeman,Biominerals,Explain the Voigt and Reuss limits for composite stiffness?,"Voigt (parallel): σc = vb·σb + vr·σr — material gains stiffness of its stiffest component. Reuss (perpendicular): 1/E = vb/Eb + vr/Er — both components share the same stress, giving lower stiffness."
CMB236,Colin Freeman,Biominerals,Why do biominerals use ionic charge density to control stiffness (e.g. sea cucumber)?,"More ions create more crosslinks between polymer chains, increasing stiffness by orders of magnitude — a reversible, biologically controllable mechanism."
CMB236,Colin Freeman,Teeth,Compare enamel and dentine in composition and mechanical properties?,"Enamel: pure hydroxyapatite — extremely hard. Dentine: ~50% hydroxyapatite, ~30% biological polymer — less hard (Mohs 3), but tough. Dentine resists cracks via micro-regions, collagen pre-stressing, and anisotropy."
CMB236,Colin Freeman,Teeth,What are the three main types of dental filling and their key properties?,"Amalgam (Ag/Sn/Hg): strong but weak tooth bonding and toxic Hg. Cement (polyacrylate + AlSi): acid groups attack glass ions to bond matrix and filler. Composite resin (photocurable polymer + silica): UV-cured, oxygen promotes adhesion."
CMB236,Colin Freeman,Teeth,Why is corrosion a key challenge for dental implants?,"Metals thermodynamically tend to form oxides, and the oral environment is water- and acid-based — highly corrosive. Materials like CoCr and Ti are chosen for corrosion resistance and biocompatibility."
CMB236,Colin Freeman,Bone,What are the five functions of bone?,"Protection, sound transmission, mechanical support, mineral storage, and blood cell production (in marrow)."
CMB236,Colin Freeman,Bone,Describe the four structural types of bone tissue?,"Compact (outer, ~20% porosity), Trabecular (open rod/plate network that remodels to strain), Woven (disorganized post-fracture collagen), Lamellar (organized plywood-like lamellae at varying angles to reduce anisotropy)."
CMB236,Colin Freeman,Bone,What controls bone remodelling and what happens when it becomes inefficient?,"Osteoblasts (build), osteocytes (maintain), and osteoclasts (resorb), driven by Ca²⁺ ions. Inefficiency leads to conditions like osteoporosis, where structural bone mass is lost over time."
CMB236,Colin Freeman,Bone,What are the three components of a hip replacement and why is each chosen?,"Metal stem (CoCr or Ti): strong, ductile, biocompatible, corrosion-resistant. Polymer cup: wear-resistant and flexible, tunable via chain length/density. Ceramic head: low friction, high compressive strength, chemically stable."
CMB236,Colin Freeman,Nacre,Describe the brick-and-mortar structure of nacre and why aragonite is used rather than calcite?,Calcium carbonate 'bricks' (aragonite phase — higher APF → better properties than calcite) with chitin 'mortar'. Small plate size limits crack size.
CMB236,Colin Freeman,Nacre,How does nacre resist crack propagation?,"Cracks travel through chitin, increasing K₁c by lengthening path. Grains can rotate to reduce stress. Cracks in chitin create high shear as CaCO₃ lamellae slide, dissipating energy. CaCO₃ nodules and organic cross-links prevent plate movement."
CMB236,Colin Freeman,Nacre,Why does wet nacre outperform dry nacre mechanically?,Structural water maintains chitin's structure and mediates interactions between layers. Dry nacre loses this and behaves similarly to plain aragonite.
CMB236,Xiangbing Zeng,Polymer Structure,What are the primary structural configurations of polymer chains and how do they relate to crystallinity?,"Linear, branched, and crosslinked configurations. Regular stereoregular arrangements promote packing and crystallinity (Isotactic: functional groups on the same side; Syndiotactic: functional groups alternate), whereas irregular arrangements remain amorphous (Atactic)."
CMB236,Xiangbing Zeng,Polymer Structure,How are polymer chain conformation changes driven and how is the spatial coil size measured for an ideal chain?,"Conformation changes are driven by free rotation around covalent Carbon-Carbon (C–C) bonds, leading to randomly arranged chains. The spatial coil size is measured via the root-mean-square (rms) distance between chain ends, which for an ideal freely jointed chain is: $$r_f = n^{1/2}l$$ (where $n$ is the number of segments of length $l$)."
CMB236,Xiangbing Zeng,Polymer Structure,What is the characteristic ratio C_inf and what does it quantify in non-ideal polymers?,"$$C_{\infty} = \frac{\langle r^2 \rangle}{r_f^2}$$It is the ratio between the actual non-ideal chain root-mean-square dimension and a theoretical freely jointed ideal chain dimension, which serves to quantify internal chain stiffness."
CMB236,Xiangbing Zeng,Polymer Structure,How does a polymer's Young's modulus behave as temperature increases?,"Young's modulus decreases as temperature increases. Polymer mechanical behavior is highly temperature-dependent, transitioning across distinct zones: Glassy $\rightarrow$ Leathery $\rightarrow$ Rubbery $\rightarrow$ Rubbery Flow $\rightarrow$ Viscous."
CMB236,Xiangbing Zeng,Rubber Elasticity,What physical work equation governs a polymer system and which thermodynamic term dominates in elastomers?,"$$dW = -f dL = dU - T dS$$Elastomers possess a very high extensibility and fully recover after mechanical deformation because the process is driven by deformation-induced changes in entropy ($dS$), as molecules naturally prefer highly disordered, randomly coiled configurations."
CMB236,Xiangbing Zeng,Rubber Elasticity,What structural and environmental criteria must a polymer satisfy to exhibit true rubber elasticity?,"It must be entirely amorphous, lightly cross-linked via internal network anchor points, and operating at an environmental temperature well above its glass transition temperature ($T_g$)."
CMB236,Xiangbing Zeng,Rubber Elasticity,What is vulcanisation and how does it alter polymer properties?,"The chemical formation of cross-linkages using sulphur. An ideal rubber network has a constant chain length, no loose ends, and highly flexible cross-linked chains."
CMB236,Xiangbing Zeng,Rubber Elasticity,Why does Gaussian network theory diverge from actual vulcanised natural rubber behavior at high extensions?,"Gaussian network theory assumes chains can extend infinitely. Real vulcanised natural rubber undergoes stress-induced crystallisation when highly extended, resulting in non-Gaussian behaviors and a sharp upturn in stiffness."
CMB236,Xiangbing Zeng,Rubber Elasticity,What roles do carbon black additives play when reinforcing natural rubber networks?,"Carbon black particles provide mechanical reinforcement and offer robust protection against solar/ozone degradation. However, they introduce physical trade-offs including mechanical hysteresis loops and strain softening under cyclic loading (known as the Mullins effect)."
CMB236,Xiangbing Zeng,Synthetic Elastomers,Compare the chemical makeup and properties of Neoprene versus natural rubber compounds?,"Neoprene is polybutadiene containing chlorine side groups instead of methyl groups. The chlorine imparts superior resistance to hydrocarbons/solvents, high thermal stability, exceptionally low gas permeability, and robust ozone degradation resistance compared to natural rubber."
CMB236,Xiangbing Zeng,Synthetic Elastomers,Describe the multi-phase layout and morphology of a Styrene-Butadiene thermoplastic block copolymer?,"It is a phase-separated block copolymer consisting of a soft, flexible rubber matrix of polybutadiene bounded together by rigid, glassy polystyrene domains at the chain ends. These glassy domains physically aggregate to act as physical cross-links that disappear when heated."
CMB236,Xiangbing Zeng,Polymer Mechanics,How does polymer resilience respond dynamically to temperature changes relative to Tg?,"Resilience follows a clear U-curve as temperature changes. It is high in the glassy state (below $T_g$) provided it avoids shattering, drops to a distinct minimum at $T_g$ where energy dissipation is maximized due to sluggish chain movements, and rises back to high levels in the rubbery state (above $T_g$) as chains move freely."
CMB236,Xiangbing Zeng,Glass Transition,What molecular transformation defines the glass transition temperature (Tg) and how does free volume vary?,"The glass transition temperature ($T_g$) is a molecular motion change, not a structural thermodynamic phase transition. Below $T_g$, rotational energy barriers freeze large-scale chain adjustments. Free volume ($V_F$) remains constant below $T_g$ but expands linearly with thermal vibrations above $T_g$."
CMB236,Xiangbing Zeng,Glass Transition,What structural and molecular parameters actively elevate a polymer's Tg value?,"(1) Bulky side groups that restrict bond rotation, (2) rigid skeletal groups in the backbone (such as aromatics) preventing movement, (3) strong intermolecular forces (IMFs) hindering motion, (4) high molecular weight ($M_r$) which decreases free volume, and (5) dense network crosslinking."
CMB236,Xiangbing Zeng,Viscoelasticity,Define the macro-mechanical phenomena of polymer creep and stress relaxation?,"Creep is a progressive increase in strain over time under a constant applied stress. Stress relaxation is a decay in the internal stress required to maintain a constant strain over time, caused by internal rotational conformational adjustments."
CMB236,Xiangbing Zeng,Viscoelasticity,How are ideal springs and dashpots combined to mechanically model linear viscoelastic behaviors?,"Springs simulate pure Hookean elasticity ($\gamma = \sigma/G = \sigma J$). Dashpots simulate pure Newtonian viscosity ($\sigma = \eta d\gamma/dt$). A series configuration (Maxwell model) simulates creep and relaxation flow, while a parallel setup (Voigt-Kelvin model) simulates delayed elastic response."
CMB236,Xiangbing Zeng,Plastic Deformation,What microstructural event occurs during polymer necking and how can cold-working be predicted?,"Necking initiates local alignment of polymer chains under tensile strain. The point where necking occurs can be determined geometrically via Considiére's construction by drawing a tangent line from the origin ($\lambda = 0$) to the true stress-strain curve. If a second tangent can be drawn from the curve back to $\lambda = 0$, cold-working occurs."
CMB236,Xiangbing Zeng,Plastic Deformation,Describe Eyring's model for plastic yield in solid polymers?,"It models plastic yield as a thermally activated, stress-assisted diffusive process where segments jump over local intermolecular energy barriers. Before stress, jump rate is $\alpha \exp(-\Delta H/RT)$. Applying shear stress lowers the forward activation energy barrier, yielding a net strain rate of: $$\dot{\gamma} = \dot{\gamma}_0 \exp\left(-\frac{\Delta H}{RT}\right) \exp\left(\frac{\sigma_Y V^*}{2RT}\right)$$"
CMB236,Xiangbing Zeng,Plastic Deformation,Distinguish between Tresca and Von Mises yielding criteria for multiaxial polymer stress fields?,Tresca states yielding occurs when the maximum shear stress reaches a critical value: $\frac{\sigma_1 - \sigma_3}{2} = \sigma_S$. Von Mises states yielding occurs when distortional strain energy reaches a critical value: $(\sigma_1 - \sigma_2)^2 + (\sigma_1 - \sigma_3)^2 + (\sigma_2 - \sigma_3)^2 = 2\sigma_Y^2$.
CMB236,Xiangbing Zeng,Plastic Deformation,What is polymer crazing and what molecular structure bridges the resulting voids?,"Crazing consists of localized surface microfractures spreading perpendicular to tensile stress, triggered by surface flaws increasing locally. Unlike regular cracks, crazes are structurally bridged by a dense network of thin, highly oriented, load-bearing polymer fibrils."
CMB236,Xiangbing Zeng,Equations,Give the volumetric thermal expansion coefficient equation,$$\alpha = \frac{1}{v} \frac{dv}{dt}$$ \n\n*(Used in glass transition analysis to calculate structural free volume changes and track shifts in molecular packing efficiency across polymer boundaries)*
CMB236,Xiangbing Zeng,Equations,Give the Hookean elastic shear strain equation,"$$\gamma = \frac{\sigma}{G} = \sigma J$$ \n\n*(Used to describe the instantaneous, fully recoverable elastic response of an ideal polymer spring element, where $J$ represents compliance)*"
CMB236,Xiangbing Zeng,Equations,Give the Newtonian fluid viscosity equation and its corresponding time integral,"$$\text{Equation: } \sigma = \eta \frac{d\gamma}{dt} \qquad \text{Integral: } \gamma = \frac{\sigma_0 t}{\eta}$$ \n\n*(Used to model the linear, time-dependent viscous flow of a dashpot element under an applied shear stress, while its integral tracks permanent plastic strain accumulation over time)*"
CMB236,Xiangbing Zeng,Equations,Give the statistical theory of rubber elasticity tensile equation,$$\sigma = G \left(\lambda - \frac{1}{\lambda^2}\right)$$ \n\n*(Used to calculate the non-linear tensile stress of an ideal elastomer network as a function of its mechanical extension ratio $\lambda$)*
CMB236,Xiangbing Zeng,Equations,Give the affine network shear modulus equation,"$$G = n k T \frac{\langle r^2 \rangle_i}{\langle r^2 \rangle_o}$$ \n\n*(Used to calculate elastomer network stiffness based on cross-link density $n$ and absolute temperature $T$, evaluating the structural ratio between crosslinked $\langle r^2 \rangle_i$ and uncrosslinked $\langle r^2 \rangle_o$ state chain dimensions)*"
CMB236,Xiangbing Zeng,Equations,Give the Time-Temperature Superposition (TTS) WLF polymer equation,"$$\log(a_T) = \frac{-C_1(T - T_g)}{C_2 + (T - T_g)}$$ \n\n*(The Williams-Landel-Ferry equation. Used to calculate the horizontal shift factor $a_T$ needed to map viscoelastic properties measured at different temperatures onto a single, unified master reference curve)*"
"CMB218","Martin Jackson","Introduction","What five factors determine strength and ductility at the macroscopic scale?","Grain size; solid solution strengthening; dislocations; precipitation hardening; defects and homogeneity."
"CMB218","Martin Jackson","Introduction","What does the Al-Cu-Mg + Ag case study demonstrate?","Adding Ag causes it to form around precipitate/matrix interfaces, reducing interfacial energy. This increases precipitate nucleation rates and therefore increases hardness."
"CMB218","Martin Jackson","Phase Transformation Kinetics","What is segregation and how is it remedied?","A solid phase (a) nucleating from liquid (L) has reduced concentration of the desired solid as precipitate radius increases, since the surrounding liquid becomes less (a)-rich. This results in poor mechanical properties. It is remedied by promoting diffusion through rolling or heat treatment."
"CMB218","Martin Jackson","Phase Transformation Kinetics","How does solid solution hardening work?","Substitutional atoms larger/smaller than the lattice atoms introduce stress into the matrix, forming an energy minimum that dislocations can inhabit (strain field). This increases the energy required for dislocation movement, increasing hardness."
"CMB218","Martin Jackson","Phase Transformation Kinetics","What is an Anti-Phase Boundary (APB) and how do paired dislocations reduce its energy cost?","In an ordered solid solution, non-identical adjacent atoms have lower enthalpy. Dislocations must excite atoms into a higher energy state, creating an APB. If two dislocations travel in pairs - one forming the APB and the other removing it - overall energy is reduced. Ordered solid solutions are harder and more brittle than random solid solutions as a result."
"CMB218","Martin Jackson","Precipitation Hardening","Describe the three steps of precipitation hardening heat treatment.","1. Solution treat: dissolve all (b) into the (a) phase. 2. Quench: obtain a supersaturated solid solution, trapping (b) in (a) at low temperature. 3. Age: heat over time to increase energy, forming precipitates through an activated process - produces a hardening peak."
"CMB218","Martin Jackson","Precipitation Hardening","Define coherent, semi-coherent, and incoherent interfaces and their associated interfacial energies and dominant factors.","Coherent (C): identical lattice parameters, low interfacial energy - misfit strain dominates. Semi-coherent (SC): close lattice parameters, medium interfacial energy - misfit strain dominates. Incoherent (IC): very different lattice parameters, high interfacial energy - interfacial energy dominates."
"CMB218","Martin Jackson","Precipitation Hardening","What is misfit strain and how does it relate to total energy?","Misfit strain = (precipitate lattice parameter - matrix lattice parameter) / matrix lattice parameter. Total energy = interfacial energy + volume free energy. Interfacial energy destabilises; volume free energy stabilises. This creates an activated process with a critical radius at EA."
"CMB218","Martin Jackson","Precipitate Development","What is the precipitation sequence from supersaturated solid solution (SSSS) to equilibrium phase, and how does coherency change?","SSSS -> GP zones -> O'' -> O' -> O (equilibrium). Coherency: C -> C -> SC -> IC. Transition phases form first as they have lower activation energy than the equilibrium phase."
"CMB218","Martin Jackson","Precipitate Development","Compare shearing and Orowan looping/bowing dislocation movement mechanisms.","Shearing (coherent): dislocation moves through the particle, shearing it - gives high YS and low work hardening (dislocations don't get stuck). Orowan looping/bowing (SC/IC): dislocation is trapped at precipitates, elastically deformed into loops around precipitates while the rest reforms - gives low YS and high work hardening. Loops repel further dislocations, reducing effective precipitate spacing."
"CMB218","Martin Jackson","Precipitate Development","What is a bimodal material and what are its mechanical properties?","A material with two different precipitate sizes (one C and one SC/IC). It gives both high yield strength and high work hardening - combining the benefits of both shearing and Orowan mechanisms."
"CMB218","Martin Jackson","Ni Superalloys","Describe the structure and role of the two phases in Ni-based superalloys.","y phase: Ni and other alloying elements; forms carbides at grain boundaries; Cr provides oxidation resistance. y' phase: the strengthening phase - coherent, ordered solid solution. The y:y' interface is coherent with low interfacial energy. y' strength is constant 0-600 degC, increases 600-800 degC, then decreases."
"CMB218","Martin Jackson","Ni Superalloys","What is precipitate coarsening (Gibbs-Thompson effect)?","As relative curvature increases, rate of particle diffusion into the matrix due to thermal vibrations increases. Small particles lose mass; large particles gain mass - split by critical radius r*. Rate of coarsening increases with temperature and is directly proportional to interfacial energy (greater disorder = easier for particles to detach)."
"CMB218","Martin Jackson","Cellular Transformation","What is a cellular transformation?","A transformation that consumes all of the parent phase and does not stop due to a reduction in growth rate - it only stops when adjacent cells impinge on each other."
"CMB218","Martin Jackson","Cellular Transformation","Describe the formation mechanism of pearlite.","Cementite (Fe3C) nucleates out of austenite (y) grain boundaries or on existing ferrite (a). Ferrite nucleates on either side of the Fe3C plate. This alternates and spreads perpendicular to the austenite grain boundary, producing a spherical growth front of alternating cementite and ferrite lamellae."
"CMB218","Martin Jackson","Cellular Transformation","In the lamellar spacing equation S = k / (Teu - T), identify all terms.","S = interlamellar spacing; k = constant; Teu = eutectic temperature; T = transformation temperature. As undercooling (Teu - T) increases, interlamellar spacing decreases - finer pearlite forms at lower temperatures."
"CMB218","Martin Jackson","Cellular Transformation","Describe the key characteristics of martensite.","Metastable body-centred tetragonal phase. Strong (>3500 MPa), tough when tempered (K1c > 200 MPam^(1/2)). Diffusionless transformation - forms at very low temperatures with no composition change. Growth is rapid and associated with shear. Forms as thin plates on habit planes (semi-coherent interface with invariant line). Above Ms won't form; only reaches 100% below Mf."
"CMB218","Martin Jackson","Cellular Transformation","What is the Bain Strain?","A model for the austenite -> martensite transition: BCT austenite is compressed by the Bain Strain into BCT martensite. The actual process is irrational. After Bain Strain, the lattice is distorted; rotating it gives an invariant plane strain (IPS). Slip/twinning then occurs to give the correct structure and reduce strain."
"CMB218","Martin Jackson","Cellular Transformation","Compare LC, MC, and HC martensite morphologies.","LC (low carbon): long laths with dislocations; habit plane {111}y. MC (medium carbon): acicular (spindly), microtwinned, audible burst of plates; habit plane {225}y. HC (high carbon): acicular, microtwinned, audible burst; habit plane {259}y."
"CMB218","Martin Jackson","Bainitic Steels","How does bainite form and how does it compare to pearlite and martensite in hardness?","Formed on moderate cooling from austenite - like martensite but not quenched enough to stop diffusion. C diffuses out of the martensite leaving ferrite. Bainite is essentially martensite that tempers itself. Hardness order: Pearlite < Bainite < Martensite."
"CMB218","Martin Jackson","Bainitic Steels","Compare upper and lower bainite.","Upper bainite (high temperature): no carbide precipitates in ferrite - carbides only on ferrite lath boundaries. Lower bainite (low temperature): carbide precipitates both in the ferrite sheaf and from austenite. Both contain carbon diffused into the austenite."
"CMB218","Martin Jackson","Transformation Kinetics","What is the Avrami equation and what does it produce?","y(t) = 1 - exp(-kt^n). Generates a wt%/time graph (S-shaped). Multiple wt%/time graphs at different temperatures can be combined to form a TTT (time-temperature-transformation) diagram showing isothermal transformations."
"CMB218","Martin Jackson","Transformation Kinetics","What is the difference between TTT and CCT diagrams?","TTT diagrams show isothermal transformations (held at a constant temperature). CCT (continuous cooling transformation) diagrams are required for most real processes, which involve continuous cooling rather than isothermal holds."
"CMB218","Martin Jackson","Zener Pinning","Explain the Hall-Petch effect and state its equation.","Grain boundaries resist dislocation motion. In high angle GBs, dislocations pile up, generating stress that promotes dislocation nucleation on the other side. As grain size decreases, GB area increases proportionally, so more stress is required to nucleate new dislocations, increasing yield stress. Equation: sigma_YS = sigma_i + ky * d^(-1/2)"
"CMB218","Martin Jackson","Zener Pinning","In the Zener pinning pressure equation PS = 3Fv*gamma / 2r, identify all terms.","PS = Zener pinning pressure; Fv = volume fraction of pinning particles; gamma = boundary energy per unit area; r = particle radius. Particles pin grain boundaries if they are the correct size."
"CMB218","Martin Jackson","Zener Pinning","What are HSLA steels and how do they use Zener pinning?","High Strength Low Alloy steels. Alloying elements that form carbides at high temperatures are added. The steel is held at high temperature, allowing precipitates to form at GBs/dislocations and Zener pin them (via controlled rolling). Grain refinement via Zener pinning uniquely increases both yield stress and ductility/toughness."
"CMB218","Martin Jackson","Zener Pinning","Compare the effects of solid solution/precipitation hardening, cold working, and grain refinement on strength and toughness.","Solid solution/precipitation hardening: increases sigma_YS, decreases ductility and toughness. Cold working: strongly reduces ductility and toughness. Grain refinement (via Zener pinning): increases sigma_YS AND increases ductility/toughness - the only method that improves both."
"CMB218","Martin Jackson","Stainless Steels","How do alloying elements affect the phase field in stainless steels?","C and N increase the size of the austenite phase field. Cr stabilises ferrite. Ni stabilises austenite. Cr, Ni, and Mo stabilise certain phases. High carbon stainless steels are prone to weld decay - Cr-C precipitates from GBs at high temperatures, causing localised corrosion."
"CMB218","Martin Jackson","Stainless Steels","Compare austenitic, ferritic, and martensitic stainless steels.","Austenitic (302/304/316 with Cr/Ni/Mo): corrosion resistant but prone to stress-induced corrosion cracking (SICC) by chloride ions; can operate at cryogenic temperatures. Ferritic (430/446 with Cr): cheaper and stronger than austenitic; no SICC but less work-hardening and no cryo capability. Martensitic (410 with Cr): alloy carbides in a martensite matrix; used in knives."
"CMB218","Martin Jackson","Cellular Transformation","In the lamellar spacing equation S = k / (Teu - T), identify all terms and state what the relationship implies.","S = interlamellar spacing (distance between alternating cementite and ferrite lamellae); k = constant; Teu = eutectic temperature; T = transformation temperature. As undercooling (Teu - T) increases, S decreases - finer pearlite forms at lower temperatures."
"CMB218","Martin Jackson","Transformation Kinetics","[DIAGRAM RECALL] Sketch and label the key features of a TTT diagram for steel.","Y-axis: temperature (high to low). X-axis: time (log scale). Features from top to bottom: A1 line (eutectoid temperature) at the top; Austenite region (top-left, before the C-curve); C-curve boundary separating austenite from transformed products; Pearlite nose (the leftmost tip of the C-curve, at intermediate temperature - fastest transformation); Bainite region (below the pearlite nose, between the C-curve and Ms line); Ms line (horizontal dashed - martensite start); Mf line (horizontal dashed below Ms - martensite finish); Martensite region (below Mf)."
"CMB218","Martin Jackson","Phase Transformation Kinetics","What is an ordered solid solution and why does it resist plastic deformation?","""Ordered solid solutions occur when non-identical adjacent atoms have a lower enthalpy than identical adjacent ones. These strain fields form an ordered array. Moving a dislocation through this ordered lattice disrupts this spacing, creating a high-energy anti-phase boundary that demands extra stress to form."""
"CMB218","Martin Jackson","Precipitation Hardening","Distinguish between coherent and incoherent precipitates during dislocation interaction?","""Coherent precipitates maintain continuous lattice planes with the matrix; dislocations cut directly through them, raising strength via chemical or stacking faults. Incoherent precipitates break lattice continuity; dislocations cannot cut them and must bow around them."""
"CMB218","Martin Jackson","Precipitation Hardening","Explain the process of overageing in precipitation hardened alloys?","""Overageing occurs when prolonged heating causes smaller precipitates to dissolve while larger ones grow (Ostwald ripening). This increases inter-particle spacing, allowing dislocations to easily bow around them via Orowan looping, causing a drop in yield strength."""
"CMB218","Martin Jackson","Deformation & Annealing","What is stored energy during cold working and how does it affect dislocation density?","""Stored energy is the mechanical work retained in the crystal lattice as elastic strain energy surrounding newly generated defects. It scales directly with dislocation density, increasing from $\sim 10^7\text{ cm}^{-2}$ in annealed metals up to $\sim 10^{11}\text{ cm}^{-2}$ in highly cold-worked metals."""
"CMB218","Martin Jackson","Deformation & Annealing","Compare the cell and subgrain microstructures formed during plastic deformation?","""Low strain forms cellular structures with messy, high-dislocation density walls enclosing low-defect interiors. High strain or elevated temperatures cause these walls to rearrange into low-angle grain boundaries, forming clean subgrains."""
"CMB218","Martin Jackson","Deformation & Annealing","What thermodynamic transformations occur during the recovery stage of annealing?","""Recovery lowers stored energy without altering grain shapes. Driven by thermal activation, point defects annihilate, and dislocations of opposite signs cancel out. Remaining dislocations rearrange into stable low-energy walls (polygonisation)."""
"CMB218","Martin Jackson","Deformation & Annealing","Define recrystallisation and contrast its nucleation mechanisms in low versus high strain areas?","""Recrystallisation replaces deformed microstructure with new, strain-free grains. In low-strain zones, it occurs via strain-induced boundary migration (SIBM) where an existing boundary bulges out into a highly deformed neighbor. In high-strain zones, it occurs via subgrain rotation and coalescence."""
"CMB218","Martin Jackson","Deformation & Annealing","What is dynamic recrystallisation (DRX) and what structural feature tracks its progress?","""DRX is recrystallisation that occurs simultaneously *during* hot deformation. Its progress is tracked by the formation of a 'necklace microstructure', where strings of tiny, new, strain-free grains form along the boundaries of large, old deformed grains."""
"CMB218","Martin Jackson","Deformation & Annealing","Explain grain growth during annealing and how its driving force differs from recrystallisation?","""Grain growth is the enlargement of existing grains to reduce total grain boundary area, driven purely by the minimization of total interfacial energy. Recrystallisation, by contrast, is driven by the relief of internal stored elastic strain energy from cold work."""
"CMB218","Martin Jackson","Steels & Rolling","What metallurgical phenomenon limits the effectiveness of multi-stage hot rolling?","""Static recrystallisation. If the steel is held at high temperatures between rolling passes, it undergoes spontaneous recrystallisation and grain growth, which eliminates the beneficial work hardening and limits further grain refinement."""
"CMB218","Martin Jackson","Key Equations","Give the Johnson-Mehl-Avrami-Kolmogorov (JMAK) phase transformation kinetics equation","""$$\xi = 1 - \exp(-k t^n)$$ \n\n*(Used to model the fraction of transformation $\xi$ over time $t$, where reaction rate is inversely proportional to $\sqrt{t}$)*"""
"CMB218","Martin Jackson","Key Equations","Give the Orowan looping stress equation for dislocation bypass around incoherent precipitates","$$\Delta \tau = \frac{G b}{L}$$ \n\n*(Used to calculate the critical shear stress increase needed for a dislocation to bow and pass between precipitates separated by spacing $L$)*"
